"filename", "language", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\anchor_tags\index.html", "HTML", 0, 17, 0, 3, 20
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\anchor_tags\style.css", "CSS", 9, 0, 0, 0, 9
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\audio\index.html", "HTML", 0, 19, 0, 0, 19
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\audio\style.css", "CSS", 6, 0, 0, 0, 6
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\background_images\index.html", "HTML", 0, 14, 0, 0, 14
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\background_images\style.css", "CSS", 16, 0, 0, 1, 17
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\clamp\index.html", "HTML", 0, 14, 0, 0, 14
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\clamp\style.css", "CSS", 3, 0, 0, 0, 3
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\iframes\index.html", "HTML", 0, 16, 0, 1, 17
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\iframes\style.css", "CSS", 8, 0, 0, 0, 8
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\index.html", "HTML", 0, 26, 0, 0, 26
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\media_queries\index.html", "HTML", 0, 15, 0, 0, 15
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\media_queries\style.css", "CSS", 12, 0, 0, 1, 13
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\pseudo_classes\index.html", "HTML", 0, 15, 0, 0, 15
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\pseudo_classes\style.css", "CSS", 27, 0, 0, 1, 28
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\pseudo_elements\index.html", "HTML", 0, 22, 0, 4, 26
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\pseudo_elements\style.css", "CSS", 3, 0, 0, 0, 3
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\style.css", "CSS", 45, 0, 0, 2, 47
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\transitions\index.html", "HTML", 0, 15, 0, 0, 15
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\transitions\style.css", "CSS", 14, 0, 0, 4, 18
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\variable_fonts\index.html", "HTML", 0, 15, 0, 3, 18
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\variable_fonts\style.css", "CSS", 17, 0, 0, 2, 19
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\video\index.html", "HTML", 0, 17, 0, 0, 17
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\video\style.css", "CSS", 4, 0, 0, 0, 4
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\vmin_vmax\index.html", "HTML", 0, 14, 0, 0, 14
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\vmin_vmax\style.css", "CSS", 3, 0, 0, 0, 3
"Total", "-", 167, 219, 0, 22, 408
