"filename", "language", "Markdown", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\.CodeCounter\details.md", "Markdown", 35, 0, 0, 0, 0, 6, 41
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\.CodeCounter\results.md", "Markdown", 27, 0, 0, 0, 0, 7, 34
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\README.md", "Markdown", 2, 0, 0, 0, 0, 1, 3
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\about.html", "HTML", 0, 15, 0, 0, 0, 0, 15
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\back.css", "CSS", 0, 0, 9, 0, 0, 1, 10
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\final\index.html", "HTML", 0, 19, 0, 0, 0, 0, 19
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\final\page2\index.html", "HTML", 0, 19, 0, 0, 0, 0, 19
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\final\page2\main.js", "JavaScript", 0, 0, 0, 171, 4, 21, 196
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\final\page2\style.css", "CSS", 0, 0, 44, 0, 0, 1, 45
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\final\page3\index.html", "HTML", 0, 18, 0, 0, 0, 0, 18
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\final\page3\main.js", "JavaScript", 0, 0, 0, 30, 2, 10, 42
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\final\page3\style.css", "CSS", 0, 0, 18, 0, 0, 0, 18
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\final\sketch.js", "JavaScript", 0, 0, 0, 97, 2, 14, 113
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\final\style.css", "CSS", 0, 0, 43, 0, 0, 1, 44
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\final\test\index.html", "HTML", 0, 16, 0, 0, 0, 0, 16
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\final\test\style.css", "CSS", 0, 0, 5, 0, 0, 0, 5
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\htmlpractice\index.html", "HTML", 0, 39, 0, 0, 0, 1, 40
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\htmlpractice\style.css", "CSS", 0, 0, 21, 0, 0, 0, 21
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\index.html", "HTML", 0, 79, 0, 0, 0, 1, 80
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\libs\Swipe.js", "JavaScript", 0, 0, 0, 41, 0, 7, 48
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\libs\jquery-3.5.1.min.js", "JavaScript", 0, 0, 0, 1, 1, 1, 3
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\libs\p5.min.js", "JavaScript", 0, 0, 0, 1, 1, 1, 3
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\linking\another_file.html", "HTML", 0, 11, 0, 0, 0, 0, 11
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\linking\cat.html", "HTML", 0, 11, 0, 0, 0, 0, 11
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\linking\index.html", "HTML", 0, 21, 0, 0, 0, 1, 22
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\linking\stuff\file.html", "HTML", 0, 11, 0, 0, 0, 0, 11
